model,scope,n,mae,prediction_correlation,directional_hit_rate,predictions_nearly_constant,date_start,date_end
baseline_zero,Overall,3905,0.015956810096261882,,,True,2011-02-02,2026-08-13
baseline_zero,LowVol,2216,0.011783705384414976,,,True,2011-02-02,2026-07-31
baseline_zero,HighVol,1689,0.02143200254235587,,,True,2011-03-10,2026-08-13
lightgbm,Overall,3905,0.016055945000162733,0.07885203786714556,0.5492957746478874,False,2011-02-02,2026-08-13
lightgbm,LowVol,2216,0.011715302328476417,0.01911942986036661,0.5500902527075813,False,2011-02-02,2026-07-31
lightgbm,HighVol,1689,0.021750950423760657,0.09182465253733736,0.5482534043812907,False,2011-03-10,2026-08-13
