scope,n,baseline_zero_mae,lightgbm_mae,mae_improvement_over_baseline,baseline_zero_prediction_correlation,lightgbm_prediction_correlation,baseline_zero_directional_hit_rate,lightgbm_directional_hit_rate
Overall,3905,0.015956810096261882,0.016055945000162733,-9.913490390085072e-05,,0.07885203786714556,,0.5492957746478874
LowVol,2216,0.011783705384414976,0.011715302328476417,6.840305593855921e-05,,0.01911942986036661,,0.5500902527075813
HighVol,1689,0.02143200254235587,0.021750950423760657,-0.00031894788140478594,,0.09182465253733736,,0.5482534043812907
