fold,n_train,n_test,test_start_date,test_end_date,train_mae_diagnostic_only,mae,prediction_correlation,directional_hit_rate,predictions_nearly_constant
0,1255,649,2011-02-02,2013-08-30,0.019600919347406546,0.017140772955406912,0.019864453841204083,0.41140215716486905,False
1,1904,649,2013-09-03,2016-03-31,0.01876089544837492,0.014058642983561194,0.05772182014191875,0.4083204930662558,False
2,2553,649,2016-04-01,2018-10-25,0.017737339568157002,0.010947565601748201,-0.09537535705664282,0.36517719568567025,False
3,3202,649,2018-10-26,2021-05-26,0.016276289820049528,0.02048648445192352,0.2186219469868844,0.3667180277349769,False
4,3851,649,2021-05-27,2023-12-22,0.016767440177481475,0.018891843246740196,0.03850676462534415,0.4206471494607088,False
5,4500,654,2023-12-26,2026-08-05,0.017181675028805653,0.01586290658115004,0.10469596214382186,0.37920489296636084,False
