fold,n_train,n_test,test_start_date,test_end_date,train_mae_diagnostic_only,mae,prediction_correlation,directional_hit_rate,predictions_nearly_constant
0,1255,649,2011-02-02,2013-08-30,0.01650471799337241,0.017708681932081968,0.011213173678574625,0.46533127889060094,False
1,1904,649,2013-09-03,2016-03-31,0.01647035741825503,0.013955352459473016,0.08381197244328073,0.4915254237288136,False
2,2553,649,2016-04-01,2018-10-25,0.015868151015290148,0.010230167090182825,-0.008693693900021155,0.5793528505392912,False
3,3202,649,2018-10-26,2021-05-26,0.014596859216215629,0.020139104345079893,0.08382706449763026,0.6147919876733436,False
4,3851,649,2021-05-27,2023-12-22,0.01513076217922462,0.019219545728104387,0.013529248701681316,0.5485362095531587,False
5,4500,654,2023-12-26,2026-08-05,0.015491533260541347,0.015307802405202428,0.10969310026663254,0.599388379204893,False
