fold,n_train,n_test,test_start_date,test_end_date,train_mae_diagnostic_only,mae,prediction_correlation,directional_hit_rate,predictions_nearly_constant
0,1255,649,2011-02-02,2013-08-30,0.01945171716706341,0.01672119019138395,0.17824110122590037,0.551617873651772,False
1,1904,649,2013-09-03,2016-03-31,0.018446295384078677,0.013613270315723834,0.1435878716327981,0.5747303543913713,False
2,2553,649,2016-04-01,2018-10-25,0.017192160672214633,0.010072431721403012,0.0431670381548412,0.6317411402157165,False
3,3202,649,2018-10-26,2021-05-26,0.01570721167304632,0.019893137022997057,0.0678616485661384,0.6024653312788906,False
4,3851,649,2021-05-27,2023-12-22,0.01633100751415098,0.01860094654351847,0.0965876464912897,0.5901386748844376,False
5,4500,654,2023-12-26,2026-08-05,0.016625852221897428,0.014856082882925593,0.15834211539325846,0.6284403669724771,False
