Date,Open,High,Low,Close,Volume
2005-01-03,82.02481815114238,82.159774875719,80.90470565155616,81.17461395263672,55748000
2005-01-04,81.2825481482702,81.33653082080941,79.91951912911628,80.18267822265625,69167600
2005-01-05,80.12198009735752,80.4661133443157,79.6226530367233,79.62940216064453,65667300
2005-01-06,79.9195694792682,80.39865441672252,79.79811096357034,80.0342788696289,47814700
2005-01-07,80.27717436046349,80.45261553563458,79.71036638993876,79.91954803466797,55847700
2005-01-10,79.85202167653713,80.60776349135425,79.85202167653713,80.29737091064453,56563300
2005-01-11,80.05450287732182,80.12197867111345,79.61590249556663,79.74411010742188,63099700
2005-01-12,79.89253097275186,80.18942538739266,79.29873184732783,80.00724029541016,72720500
2005-01-13,80.0544950923445,80.1152269045022,79.2852597921642,79.3662338256836,55537500
2005-01-14,79.60239129938853,79.98025977717624,79.46069062021813,79.78457641601562,42032500
2005-01-18,79.65638577798508,80.71577161558989,79.58890484146785,80.61455535888672,57391700
2005-01-19,80.58755645060354,80.64828311008253,79.76433852385154,79.77108764648438,54378900
2005-01-20,79.54841459150467,79.75759106483608,79.14355474231675,79.2852554321289,72049300
2005-01-21,79.48092509551631,79.62262576088152,78.71168997035012,78.79940795898438,63160400
2005-01-24,79.00858099751099,79.17727299398504,78.52275237204553,78.64421081542969,58441900
2005-01-25,78.88716021409815,79.26502879454885,78.75895259655665,78.86691284179688,68245000
2005-01-26,79.16377687727179,79.35271108241861,78.97484267212498,79.1030502319336,57195100
2005-01-27,79.07606371295871,79.45393214627154,78.9343630504664,79.23800659179688,55878800
2005-01-28,79.2784910244886,79.31898060525161,78.68469703670111,79.23800659179688,60738900
2005-01-31,79.58890785490271,79.79134037597366,79.42696492688968,79.7306137084961,52532700
2005-02-01,79.7913144757924,80.35137314063104,79.69009824811162,80.23666381835938,49841200
2005-02-02,80.3378906822638,80.69551696200509,80.22993046011182,80.4795913696289,52468900
2005-02-03,80.33787677164705,80.40535769038885,80.00724189171171,80.27040100097656,48837100
2005-02-04,80.2973905923089,81.2623090213158,80.28389749769683,81.12735748291016,50024600
2005-02-07,81.14088293069909,81.32306809499624,80.94519951833651,81.01942443847656,45412000
2005-02-08,81.08690025349861,81.41079128219197,81.01942445737552,81.1138916015625,39263500
2005-02-09,81.25559260646469,81.30282617872595,80.46611497806653,80.50659942626953,55279400
2005-02-10,80.74275250658049,80.98566428391587,80.47284423967541,80.7967300415039,45858600
2005-02-11,80.76975086196613,81.67394292003668,80.60780793666723,81.49175262451172,53133000
2005-02-14,81.43775650712324,81.55246583854402,81.29605583629672,81.4310073852539,32432100
2005-02-15,81.51197251212523,81.93707447823459,81.43099850274062,81.7346420288086,43852700
2005-02-16,81.59973146945228,81.95735784802355,81.42429026839092,81.78866577148438,55523000
2005-02-17,81.80212547108081,81.86960124028364,81.1206083615685,81.12735748291016,58124000
2005-02-18,81.13415053222599,81.29609865395663,80.90473174855238,81.23536682128906,47723300
2005-02-22,80.90469693487458,81.28931454935201,80.01400324092303,80.02749633789062,80697600
2005-02-23,80.25018176316254,80.68203299679416,80.0410052697677,80.60105895996094,68292600
2005-02-24,80.45935657391227,81.1881074459526,80.28392055321835,81.13412475585938,68563600
2005-02-25,81.15435457023106,82.09903091014341,81.09362791421499,81.93708801269531,60899900
2005-02-28,81.74815248097342,81.84936872080408,80.9991595135271,81.39727020263672,69381300
2005-03-01,81.52548949288438,81.99782514917567,81.4984981485145,81.8021469116211,47294400
2005-03-02,81.48499023568829,82.274467609701,81.41076533918401,81.76164245605469,64226500
2005-03-03,82.09229452696303,82.25423743938583,81.44451258112711,81.79539489746094,61230800
2005-03-04,82.3554503842091,82.88176868950964,82.18000923308487,82.81429290771484,56168500
2005-03-07,82.76704123397764,83.16515186310012,82.59160012124468,82.8547592163086,43442400
2005-03-08,82.77379886335238,82.99647356455061,82.39593038718945,82.54438018798828,44362000
2005-03-09,82.30147717616373,82.51740279161322,81.61995986099674,81.626708984375,73263600
