rank_by_mae,model,n,mae,mae_improvement_over_baseline,prediction_correlation,directional_hit_rate,predictions_nearly_constant
1,random_forest,3899,0.01562518889366644,0.0003447149832697498,0.10468900397954184,0.5965632213388048,False
2,baseline_zero,3899,0.01596990387693619,0.0,,,True
3,lightgbm,3899,0.01601953371514723,-4.9629838211037725e-05,0.08398979256593683,0.5478327776352911,False
4,xgboost,3899,0.016092434833894432,-0.00012253095695824098,0.05421404905178563,0.5498845857912286,False
5,adaboost,3899,0.01623089679415996,-0.0002609929172237707,0.09730527267345217,0.3918953577840472,False
