fold,n_train,n_test,test_start_date,test_end_date,train_mae_diagnostic_only,mae,prediction_correlation,directional_hit_rate,predictions_nearly_constant,baseline_zero_mae,mae_improvement_over_baseline
0,1255,650,2011-02-02,2013-09-03,0.01640047786511019,0.017697811419875392,0.04038918696088335,0.4753846153846154,False,0.0170116376696879,-0.0006861737501874937
1,1905,650,2013-09-04,2016-04-04,0.016314479379227455,0.013975060267422438,0.07098637974886036,0.5046153846153846,False,0.0139230626948893,-5.1997572533137026e-05
2,2555,650,2016-04-05,2018-10-30,0.015727539367209695,0.010236017066671663,0.0975010582271837,0.556923076923077,False,0.0105677199242248,0.00033170285755313757
3,3205,650,2018-10-31,2021-06-02,0.014608128022629986,0.01998826632954698,0.12678171170300245,0.5923076923076923,False,0.0200757336537221,8.74673241751181e-05
4,3855,650,2021-06-03,2024-01-02,0.015143283514822322,0.019139993346913735,0.04954748414878124,0.5553846153846154,False,0.0187905350475826,-0.0003494582993311332
5,4505,655,2024-01-03,2026-08-13,0.015614082133360564,0.015304303428787564,0.10521905029823432,0.6106870229007634,False,0.0153766344768444,7.233104805683468e-05
